노선번호,총운행횟수,첫차,막차,구분
3217,103,0430,2315,2
3313,126,0440,2340,2
3322,112,0400,2320,2
350,96,0400,2230,2
100,109,0400,2240,2
1017,76,0430,2320,2
1120,74,0500,2340,2
1140,26,0500,0000,2
1143,9,0500,2330,2
1144,82,0430,2300,2
1154,90,0430,2320,2
1227,99,0430,2320,2
172,115,0400,2300,2
101,24,0400,2300,2
1111,56,0420,2320,2
1115,54,0530,0000,2
1124,105,0500,2400,2
1218,99,0410,2250,2
145,126,0400,2240,2
148,126,0400,2240,2
504,154,0355,2240,2
5535,91,0430,2310,2
5536,124,0430,2320,2
6635,84,0430,2350,2
8551,0,0000,0000,2
7019,114,0430,2255,2
7611,84,0410,2240,2
7612,146,0433,2340,2
7713,68,0500,2330,2
102,112,0400,2310,2
105,95,0400,2240,2
1131,52,0500,2350,2
1138,55,0430,2340,2
1139,96,0430,2340,2
1141,52,0500,2350,2
1142,192,0500,0000,2
1143,36,0500,2330,2
1221,54,0430,2330,2
1224,78,0430,2330,2
1226,24,0430,2240,2
146,114,0405,2320,2
N13상계,4,0000,0325,2
1213,51,0440,2240,3
2013,78,0420,2250,3
271,130,0420,2240,3
N62면목,4,2340,0110,3
605,105,0400,2240,3
6631,117,0420,2250,3
6632,77,0430,2300,3
N65개화,4,0000,0120,3
5515,60,0530,2330,3
5519,68,0600,2325,3
643,119,0430,2240,3
6515,96,0410,2210,3
N61양천,5,2340,0410,3
500,39,0400,2300,3
5531,151,0420,2300,3
5623,138,0400,2240,3
651,110,0400,2240,3
654,70,0400,2230,3
6629,99,0430,2250,3
6648,70,0430,2330,3
6712,68,0430,2250,3
672,74,0430,2300,3
3012,44,0400,2230,3
320,114,0400,2300,3
3425,8,0400,2230,3
4419,86,0400,2300,3
452,111,0400,2330,3
9401,63,0430,2300,3
9404,126,0400,2330,3
9408,64,0400,2230,3
270,110,0400,2230,3
470,108,0400,2240,3
601,102,0400,2310,3
710,96,0350,2240,3
N26강서,4,0000,0130,3
333,94,0400,2300,3
407,67,0400,2300,3
440,111,0355,2255,3
2015,90,0430,2310,3
2016,65,0400,2215,3
240,85,0400,2300,3
241,86,0400,2300,3
242,68,0430,2300,3
106,90,0400,2300,3
107,88,0400,2220,3
108,76,0400,0000,3
201,63,0400,2400,3
2312B,36,0430,2250,3
341,65,0430,2330,3
370,130,0400,2250,3
542,44,0420,2300,3
5624,39,0410,2300,3
1014,117,0500,2340,3
1020,121,0430,2320,3
110A,90,0400,2240,3
110B,90,0405,2245,3
1113,64,0510,2340,3
1114,94,0500,2350,3
1162,114,0500,2340,3
143,120,0400,2210,3
162,114,0400,2250,3
4211,84,0355,2300,3
463,94,0400,2215,3
406,78,0420,2350,3
420,145,0410,2310,3
4412,88,0430,2250,3
4432,130,0400,2320,3
4435,72,0420,2330,3
472,132,0410,2320,3
1213,51,0440,2240,3
171,120,0400,2300,3
1711,134,0430,2300,3
6514,86,0400,2200,3
6617,68,0500,2330,3
6620,63,0530,2330,3
6657,53,0500,2300,3
N62양천,4,2340,0110,3
3012,36,0400,2230,3
302,84,0400,2245,3
303,132,0400,2220,3
3425,64,0400,2230,3
9401,138,0430,2300,3
9403,76,0500,2400,3
101,84,0400,2300,3
1115,18,0530,0000,3
1165,108,0430,2330,3
121,102,0400,2230,3
151,120,0400,2250,3
152,124,0400,2220,3
153,128,0400,2220,3
8111,0,0640,1700,3
N15우이,4,2400,0130,3
700,88,0430,0020,3
707,75,0430,0020,3
771,45,0430,2350,3
7728,71,0400,2200,3
2016,19,0400,2215,3
2227,68,0450,2320,3
260,101,0355,2240,3
262,20,0400,2215,3
273,113,0410,2230,3
N26중랑,4,0000,0130,3
505,77,0410,2230,3
5413,113,0420,2310,3
5525,48,0450,2320,3
5537,77,0430,2330,3
5617,126,0450,2350,3
5619,94,0430,2330,3
5620,107,0430,2310,3
5621,138,0520,2350,3
5627,64,0430,2330,3
5633,71,0420,2250,3
6637,139,0430,2310,3
8551,0,0000,0000,3
N65시흥,4,0000,0120,3
0017,98,0515,2330,3
674,24,0420,2300,3
7017,87,0430,2300,3
7021,92,0430,2300,3
7730,104,0430,2300,3
2113,100,0530,2330,3
2114,85,0530,2330,3
2234,70,0530,2330,3
2235,78,0530,2330,3
5522A,95,0500,2330,3
5522B,45,0500,2330,3
5523,113,0430,2320,3
5615,98,0410,2300,3
5618,80,0330,2210,3
6512,78,0350,2230,3
670,45,0400,2300,3
8552,0,0000,0000,3
503,66,0415,2230,3
5534,60,0415,2300,3
5630,60,0415,2300,3
5714,136,0415,2220,3
02,55,0700,2330,3
03,48,0700,2330,3
05,52,0730,2330,3
2112,66,0430,2240,3
2211,140,0440,2325,3
2227,0,0450,2320,3
2230,70,0420,2245,3
2233,60,0430,2240,3
2311,76,0400,2215,3
2312A,36,0430,2250,3
262,84,0400,2215,3
272,164,0415,2230,3
8221,0,0000,0000,3
400,59,0415,2225,3
405,70,0410,2240,3
421,114,0400,2210,3
1165,27,0430,2330,3
130,149,0420,2250,3
144,130,0430,2250,3
102,14,0400,2310,3
103,109,0430,2300,3
1129,57,0500,2330,3
1130,110,0500,0010,3
1133,75,0500,2340,3
1137,112,0430,2310,3
1140,39,0500,0000,3
1143,18,0500,2330,3
1224,39,0430,2330,3
146,40,0405,2320,3
173,83,0400,2250,3
N61상계,5,2340,0410,3
1122,132,0400,0010,3
2012,66,0400,2240,3
2115,44,0400,2240,3
261,115,0350,2230,3
7018,81,0430,2300,3
721,128,0420,2240,3
7719,45,0420,2300,3
8761,0,0000,0000,3
150,94,0400,2210,3
160,102,0400,2220,3
500,53,0400,2300,3
507,77,0400,2300,3
600,105,0400,2330,3
670,25,0400,2300,3
N16도봉,4,0010,0130,3
301,128,0400,2230,3
3011,45,0420,2250,3
3426,78,0420,2300,3
401,69,0400,2230,3
3212,61,0430,2330,3
3318,32,0430,2310,3
3321,54,0430,2340,3
340,138,0430,2310,3
3411,87,0430,2320,3
3412,69,0350,2220,3
3413,86,0420,2300,3
342,77,0400,2250,3
N30,8,2320,0340,3
705,57,0350,2320,3
7211,42,0410,2300,3
761,72,0400,2320,3
7722,68,0430,2350,3
7723,105,0440,0000,3
7734,58,0400,2300,3
774,81,0345,2320,3
9703,55,0500,2300,3
9709,36,0450,0050,3
9711A,60,0500,2330,3
104,152,0355,2330,3
1119,150,0440,2335,3
1126,140,0430,2350,3
